Year,Band,Site,Sex,Type,FamilyID,Tissue,Seq.ID,Nest,Brood,clutch_id
2021,2640-97385,Make Believe,F,mom,MakeBelieve-69,blood,CO-97385,NA,NA,NA
2021,2850-57518,Make Believe,M,dad,MakeBelieve-69,blood,CO-57518,NA,NA,NA
2021,2850-57625,Alisha's,M,dad,none,blood,CO-57625,NA,NA,NA
2021,2850-57628,Alisha's,M,dad,none,blood,CO-57628,NA,NA,NA
2021,2850-57630,Alisha's,M,dad,none,blood,CO-57630,NA,NA,NA
2021,2850-57631,Alisha's,M,dad,none,blood,CO-57631,NA,NA,NA
2021,2850-57636,Blue Cloud,M,dad,none,blood,CO-57636,NA,NA,NA
2021,2850-57915,Alisha's,M,dad,none,blood,CO-57915,NA,NA,NA
2021,2850-57916,Alisha's,M,dad,none,blood,CO-57916,NA,NA,NA
2021,2850-57917,Alisha's,M,dad,none,blood,CO-57917,NA,NA,NA
2021,2850-57555,Reinarz,F,mom,Reinarz-01,blood,CO-57555,NA,NA,NA
2021,2850-57619,Reinarz,M,dad,Reinarz-01,blood,CO-57619,NA,NA,NA
2021,2850-57553,Schaaps,F,mom,Schaaps-108,blood,CO-57553,NA,NA,NA
2021,2850-57607,Schaaps,M,dad,Schaaps-108,blood,CO-57607,NA,NA,NA
2021,2850-57701,Schaaps,M,dad,Schaaps-110,blood,CO-57701,NA,NA,NA
2021,2811-06912,Schaaps,M,dad,Schaaps-54,blood,CO-06912,NA,NA,NA
2021,2850-57603,Schaaps,F,mom,Schaaps-54,blood,CO-57603,NA,NA,NA
2021,2850-57538,Schaaps,M,dad,Schaaps-80,blood,CO-57538,NA,NA,NA
2021,2850-57556,Schaaps,F,mom,Schaaps-80,blood,CO-57556,NA,NA,NA
2021,2850-57551,Struthers,F,mom,Struthers-20,blood,CO-57551,NA,NA,NA
2021,2850-57552,Struthers,M,dad,Struthers-20,blood,CO-57552,NA,NA,NA
2021,2850-57608,Urban Farm Girlz,F,mom,UrbanFarm-02,blood,CO-57608,NA,NA,NA
2021,2850-57615,Urban Farm Girlz,M,dad,UrbanFarm-02,blood,CO-57615,NA,NA,NA
2021,2850-57624,Urban Farm Girlz,M,dad,UrbanFarm-04,blood,CO-57624,NA,NA,NA
2021,E80,Reinarz,,egg,Reinarz-01,egg,CO-E80,NA,collected,Reinarz-01_egg
2021,E81,Reinarz,,egg,Reinarz-01,egg,CO-E81,NA,collected,Reinarz-01_egg
2021,E82,Reinarz,,egg,Reinarz-01,egg,CO-E82,NA,collected,Reinarz-01_egg
2021,E83,Reinarz,,egg,Reinarz-01,egg,CO-E83,NA,collected,Reinarz-01_egg
2021,E84,Reinarz,,egg,Reinarz-01,egg,CO-E84,NA,collected,Reinarz-01_egg
2021,2811-82974,Schaaps,,kid,Schaaps-108,blood,CO-82974,32,1,Schaap's_32_1
2021,2811-82975,Schaaps,,kid,Schaaps-108,blood,CO-82975,32,1,Schaap's_32_1
2021,2811-82976,Schaaps,,kid,Schaaps-108,blood,CO-82976,32,1,Schaap's_32_1
2021,2811-82988,Schaaps,,kid,Schaaps-54,blood,CO-82988,33,1,Schaap's_33_2
2021,2811-82989,Schaaps,,kid,Schaaps-54,blood,CO-82989,33,1,Schaap's_33_2
2021,2811-82990,Schaaps,,kid,Schaaps-54,blood,CO-82990,33,1,Schaap's_33_2
2021,2811-39038,Schaaps,,kid,Schaaps-80,blood,CO-39038,59,1,Schaap's_59_1
2021,2811-39039,Schaaps,,kid,Schaaps-80,blood,CO-39039,59,1,Schaap's_59_1
2021,2811-39040,Schaaps,,kid,Schaaps-80,blood,CO-39040,59,1,Schaap's_59_1
2021,2811-39041,Schaaps,,kid,Schaaps-80,blood,CO-39041,59,1,Schaap's_59_1
2021,2811-83044,Schaaps,,kid,Schaaps-80,blood,CO-83044,80,2,Schaap's_80_2
2021,2811-83045,Schaaps,,kid,Schaaps-80,blood,CO-83045,80,2,Schaap's_80_2
2021,2811-83046,Schaaps,,kid,Schaaps-80,blood,CO-83046,80,2,Schaap's_80_2
2021,2811-83029,Schaaps,,kid,Schaaps-108,blood,CO-83029,97,2,Schaap's_97_2
2021,2811-83030,Schaaps,,kid,Schaaps-108,blood,CO-83030,97,2,Schaap's_97_2
2021,2811-83031,Schaaps,,kid,Schaaps-108,blood,CO-83031,97,2,Schaap's_97_2
2021,2811-83032,Schaaps,,kid,Schaaps-108,blood,CO-83032,97,2,Schaap's_97_2
2021,E70,Schaaps,,egg,Schaaps-108,egg,CO-E70,NA,collected,Schaaps-108_egg
2021,E71,Schaaps,,egg,Schaaps-108,egg,CO-E71,NA,collected,Schaaps-108_egg
2021,E72,Schaaps,,egg,Schaaps-108,egg,CO-E72,NA,collected,Schaaps-108_egg
2021,E73,Schaaps,,egg,Schaaps-108,egg,CO-E73,NA,collected,Schaaps-108_egg
2021,E74,Schaaps,,egg,Schaaps-108,egg,CO-E74,NA,collected,Schaaps-108_egg
2021,E56,Schaaps,,egg,Schaaps-54,egg,CO-E56,NA,collected,Schaaps-54_egg
2021,E57,Schaaps,,egg,Schaaps-54,egg,CO-E57,NA,collected,Schaaps-54_egg
2021,E58,Schaaps,,egg,Schaaps-54,egg,CO-E58,NA,collected,Schaaps-54_egg
2021,E59,Schaaps,,egg,Schaaps-54,egg,CO-E59,NA,collected,Schaaps-54_egg
2021,E38,Schaaps,,egg,Schaaps-80,egg,CO-E38,NA,collected,Schaaps-80_egg
2021,E39,Schaaps,,egg,Schaaps-80,egg,CO-E39,NA,collected,Schaaps-80_egg
2021,E40,Schaaps,,egg,Schaaps-80,egg,CO-E40,NA,collected,Schaaps-80_egg
2021,E41,Schaaps,,egg,Schaaps-80,egg,CO-E41,NA,collected,Schaaps-80_egg
2021,E42,Schaaps,,egg,Schaaps-80,egg,CO-E42,NA,collected,Schaaps-80_egg
2021,2811-83037,Struthers,,kid,Struthers-20,blood,CO-83037,10,2,Struther's_10_2
2021,2811-83038,Struthers,,kid,Struthers-20,blood,CO-83038,10,2,Struther's_10_2
2021,2811-83039,Struthers,,kid,Struthers-20,blood,CO-83039,10,2,Struther's_10_2
2021,2811-83040,Struthers,,kid,Struthers-20,blood,CO-83040,10,2,Struther's_10_2
2021,2811-83210,Struthers,,kid,Struthers-20,blood,CO-83210,20,1,Struther's_20_1
2021,2811-83211,Struthers,,kid,Struthers-20,blood,CO-83211,20,1,Struther's_20_1
2021,2811-83212,Struthers,,kid,Struthers-20,blood,CO-83212,20,1,Struther's_20_1
2021,2811-83213,Struthers,,kid,Struthers-20,blood,CO-83213,20,1,Struther's_20_1
2021,E43,Struthers,,egg,Struthers-20,egg,CO-E43,NA,collected,Struthers-20_egg
2021,E44,Struthers,,egg,Struthers-20,egg,CO-E44,NA,collected,Struthers-20_egg
2021,E45,Struthers,,egg,Struthers-20,egg,CO-E45,NA,collected,Struthers-20_egg
2021,E46,Struthers,,egg,Struthers-20,egg,CO-E46,NA,collected,Struthers-20_egg
2021,E47,Struthers,,egg,Struthers-20,egg,CO-E47,NA,collected,Struthers-20_egg
2021,E01,Urban Farm Girlz,,egg,UrbanFarm-02,egg,CO-E01,NA,collected,UrbanFarm-02_egg
2021,E02,Urban Farm Girlz,,egg,UrbanFarm-02,egg,CO-E02,NA,collected,UrbanFarm-02_egg
2021,E03,Urban Farm Girlz,,egg,UrbanFarm-02,egg,CO-E03,NA,collected,UrbanFarm-02_egg
2021,E04,Urban Farm Girlz,,egg,UrbanFarm-02,egg,CO-E04,NA,collected,UrbanFarm-02_egg
