"","Ind1","genetic_fam","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","SeqID_mom","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","Band_mom","Site_mom","Type_mom","FamilyID_mom","SeqID_dad","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","Band_dad","Site_dad","Type_dad","FamilyID_dad"
"40","CO_83019","2850-57505_2640-97370","2811-83019","Cooks","kid","Cooks-23",32,"2","Cook's_32_2","CO_97370",0.396,0.461,0.143,0.374,57021,"2640-97370","Cooks","mom","Cooks-23","CO_57505",0.344,0.554,0.102,0.379,55288,"2850-57505","Cooks","dad","Cooks-23"
"41","CO_83020","2850-57505_2640-97370","2811-83020","Cooks","kid","Cooks-23",32,"2","Cook's_32_2","CO_97370",0.361,0.508,0.131,0.385,52595,"2640-97370","Cooks","mom","Cooks-23","CO_57505",0.389,0.457,0.155,0.383,50962,"2850-57505","Cooks","dad","Cooks-23"
"42","CO_83022","2850-57505_2640-97370","2811-83022","Cooks","kid","Cooks-23",32,"2","Cook's_32_2","CO_97370",0.363,0.5,0.137,0.387,58016,"2640-97370","Cooks","mom","Cooks-23","CO_57505",0.35,0.535,0.115,0.382,56185,"2850-57505","Cooks","dad","Cooks-23"
"43","CO_83029","2850-57607_2850-57553","2811-83029","Schaaps","kid","Schaaps-108",97,"2","Schaap's_97_2","CO_57553",0.4,0.436,0.164,0.382,54079,"2850-57553","Schaaps","mom","Schaaps-108","CO_57607",0.351,0.513,0.136,0.392,59721,"2850-57607","Schaaps","dad","Schaaps-108"
"44","CO_83030","2850-57607_2850-57553","2811-83030","Schaaps","kid","Schaaps-108",97,"2","Schaap's_97_2","CO_57553",0.413,0.405,0.183,0.385,50968,"2850-57553","Schaaps","mom","Schaaps-108","CO_57607",0.325,0.542,0.133,0.404,56217,"2850-57607","Schaaps","dad","Schaaps-108"
"45","CO_83031","NA_2850-57553","2811-83031","Schaaps","kid","Schaaps-108",97,"2","Schaap's_97_2","CO_57553",0.396,0.436,0.168,0.386,55022,"2850-57553","Schaaps","mom","Schaaps-108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","CO_83032","2850-57607_2850-57553","2811-83032","Schaaps","kid","Schaaps-108",97,"2","Schaap's_97_2","CO_57553",0.38,0.472,0.148,0.384,55479,"2850-57553","Schaaps","mom","Schaaps-108","CO_57607",0.341,0.549,0.111,0.385,61093,"2850-57607","Schaaps","dad","Schaaps-108"
"47","CO_83033","2850-57557_2850-57609","2811-83033","Cooks","kid","Cooks-24",33,"2","Cook's_33_2","CO_57609",0.365,0.495,0.14,0.387,50943,"2850-57609","Cooks","mom","Cooks-24","CO_57557",0.415,0.402,0.182,0.383,52798,"2850-57557","Cooks","dad","Cooks-24"
"48","CO_83034","2850-57557_2850-57609","2811-83034","Cooks","kid","Cooks-24",33,"2","Cook's_33_2","CO_57609",0.396,0.474,0.13,0.367,51296,"2850-57609","Cooks","mom","Cooks-24","CO_57557",0.381,0.463,0.156,0.387,53152,"2850-57557","Cooks","dad","Cooks-24"
"49","CO_83035","2850-57557_2850-57609","2811-83035","Cooks","kid","Cooks-24",33,"2","Cook's_33_2","CO_57609",0.363,0.531,0.107,0.372,52317,"2850-57609","Cooks","mom","Cooks-24","CO_57557",0.41,0.414,0.176,0.383,54151,"2850-57557","Cooks","dad","Cooks-24"
